"sample"	"gdd0"	"gdd5"	"chill"	"mtco"	"mtwa"	"mipt"	"aaetpt"	"apetpt"	"miptev"	"aaetptev"	"apetptev"	"miptdc"	"aaetptdc"	"apetptdc"	"totsnopt"	"annp"	"pjanpann"	"pjulpann"	"Jan_Tmp"	"Feb_Tmp"	"Mar_Tmp"	"Apr_Tmp"	"May_Tmp"	"Jun_Tmp"	"Jul_Tmp"	"Aug_Tmp"	"Sep_Tmp"	"Oct_Tmp"	"Nov_Tmp"	"Dec_Tmp"	"TMax"	"TMin"	"Jan_PPT"	"Feb_PPT"	"Mar_PPT"	"Apr_PPT"	"May_PPT"	"Jun_PPT"	"Jul_PPT"	"Aug_PPT"	"Sep_PPT"	"Oct_PPT"	"Nov_PPT"	"Dec_PPT"	"Jan_sun"	"Feb_sun"	"Mar_sun"	"Apr_sun"	"May_sun"	"Jun_sun"	"Jul_sun"	"Aug_sun"	"Sep_sun"	"Oct_sun"	"Nov_sun"	"Dec_sun"	"Need11"	"Broad11"	"Decid11"	"Ever11"	"TotWoody11"	"Open11"	"NeedStd"	"BroadStd"	"DecidStd"	"EverStd"
"S91"	7375.8	5550.8	0	10.5	30.7	0.2246	332.12	1478.8331	0.2246	332.12	1478.8331	0.2246	332.12	1478.8331	0	333	0.0811	0.1772	10.5	12.4	14.6	18.6	23.1	28.6	30.7	29.5	26.9	21.3	14.9	10.8	44.1	-9.6	27	22	25	9	5	5	59	63	36	27	21	34	80.3	81.9	85.2	90.5	92.6	92.6	79.4	81.4	84.9	86.3	82.1	78	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S92"	7315.1	5490.1	0	10.3	30.5	0.2297	338.1907	1472.4689	0.2297	338.1907	1472.4689	0.2297	338.1907	1472.4689	0	339	0.0796	0.177	10.3	12.2	14.4	18.5	22.9	28.5	30.5	29.3	26.7	21.1	14.8	10.7	43.9	-9.9	27	23	25	10	5	6	60	64	36	27	21	35	80.2	81.8	85	90.3	92.5	92.4	79.2	81.2	84.8	86.2	81.9	77.9	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S93"	7245.1	5420.1	0	10.1	30.3	0.2348	344.1591	1465.6887	0.2348	344.1591	1465.6887	0.2348	344.1591	1465.6887	0	345	0.0783	0.1797	10.1	12	14.3	18.3	22.7	28.3	30.3	29.1	26.5	20.9	14.6	10.5	43.8	-10.2	27	23	26	10	5	6	62	65	37	28	21	35	80.1	81.6	84.9	90.2	92.4	92.3	79	81	84.6	86.1	81.8	77.8	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S94"	7178.1	5353.1	0	10	30.1	0.2385	348.1268	1459.3711	0.2385	348.1268	1459.3711	0.2385	348.1268	1459.3711	0	349	0.0774	0.1834	10	11.8	14.1	18.1	22.6	28.1	30.1	28.9	26.3	20.7	14.4	10.3	43.6	-10.4	27	23	26	10	6	6	64	66	37	28	21	35	80	81.5	84.8	90.1	92.3	92.2	78.9	80.8	84.5	86	81.7	77.7	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S95"	7108.2	5283.2	0	9.8	29.9	0.2452	356.0634	1452.4136	0.2452	356.0634	1452.4136	0.2452	356.0634	1452.4136	0	357	0.0784	0.1821	9.8	11.6	13.9	17.9	22.4	27.9	29.9	28.7	26.1	20.5	14.2	10.2	43.4	-10.7	28	23	26	10	6	7	65	68	38	29	21	36	79.9	81.4	84.7	89.9	92.2	92.1	78.7	80.6	84.3	85.9	81.6	77.6	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S96"	6940.9	5115.9	0	9.3	29.4	0.2577	370.0863	1436.2872	0.2577	370.0863	1436.2872	0.2577	370.0863	1436.2872	0	371	0.0755	0.186	NA	11.2	13.5	17.5	21.9	27.5	29.4	28.1	25.6	20	NA	9.8	43	-11.4	28	24	27	11	6	7	69	71	39	30	22	37	79.6	81.1	84.4	89.6	92	91.8	78.2	80.1	84	85.6	81.3	77.3	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S97"	6770.5	4945.5	0	8.9	28.9	0.2705	384.0609	1419.963	0.2705	384.0609	1419.963	0.2705	384.0609	1419.963	0	385	0.0753	0.1896	8.9	10.7	13	17	21.5	27.1	28.9	27.6	25.1	19.6	13.3	9.3	42.6	-12.1	29	25	28	11	6	8	73	74	41	31	22	37	79.4	80.8	84	89.3	91.7	91.4	77.8	79.7	83.6	85.4	81	77.1	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S98"	6609.2	4784.2	0	8.5	28.4	0.2834	397.9818	1404.0984	0.2834	397.9818	1404.0984	0.2834	397.9818	1404.0984	0	399	0.0752	0.193	8.5	10.3	12.6	16.6	21.1	26.6	28.4	27.1	24.6	19.1	12.9	8.9	42.2	-12.7	30	25	28	11	7	9	77	77	42	32	23	38	79.1	80.5	83.7	89	91.5	91.1	77.3	79.2	83.2	85.1	80.7	76.9	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S99"	6435.8	4610.8	0	8.1	27.9	0.2991	414.973	1387.3173	0.2991	414.973	1387.3173	0.2991	414.973	1387.3173	0	416	0.0745	0.1971	NA	9.8	12.1	16.2	20.6	26.2	27.9	26.6	24	18.6	12.4	8.5	41.8	-13.4	31	26	29	12	7	10	82	80	44	33	23	39	78.9	80.2	83.4	88.7	91.2	90.8	76.9	78.7	82.8	84.8	80.4	76.6	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S100"	6238	4413	0	7.6	27.3	0.3179	434.9485	1368.0112	0.3179	434.9485	1368.0112	0.3179	434.9485	1368.0112	0	436	0.0734	0.1995	7.6	9.3	11.6	15.6	20.1	25.7	27.3	26	23.4	18	11.9	8	41.3	-14.2	32	27	30	13	8	11	87	84	46	34	24	40	78.6	79.8	83	88.3	90.9	90.5	76.3	78.2	82.4	84.5	80.1	76.3	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
