Year,Month,DecDate,TempAnom
1886,9,1886.708333,-0.2
1886,10,1886.791667,-0.31
1886,11,1886.875,-0.34
1886,12,1886.958333,-0.3
1887,1,1887.041667,-0.64
1887,2,1887.125,-0.51
1887,3,1887.208333,-0.35
1887,4,1887.291667,-0.42
1887,5,1887.375,-0.3
1887,6,1887.458333,-0.24
1887,7,1887.541667,-0.08
1887,8,1887.625,-0.27
1887,9,1887.708333,-0.25
1887,10,1887.791667,-0.38
1887,11,1887.875,-0.32
1887,12,1887.958333,-0.4
1888,1,1888.041667,-0.48
1888,2,1888.125,-0.47
1888,3,1888.208333,-0.46
1888,4,1888.291667,-0.36
1888,5,1888.375,-0.29
1888,6,1888.458333,-0.25
1888,7,1888.541667,-0.2
1888,8,1888.625,-0.23
1888,9,1888.708333,-0.2
1888,10,1888.791667,-0.11
1888,11,1888.875,-0.06
1888,12,1888.958333,-0.22
1889,1,1889.041667,-0.23
1889,2,1889.125,0.08
1889,3,1889.208333,-0.02
1889,4,1889.291667,-0.03
1889,5,1889.375,-0.07
1889,6,1889.458333,-0.14
1889,7,1889.541667,-0.17
1889,8,1889.625,-0.25
1889,9,1889.708333,-0.22
1889,10,1889.791667,-0.3
1889,11,1889.875,-0.37
1889,12,1889.958333,-0.34
1890,1,1890.041667,-0.52
1890,2,1890.125,-0.41
1890,3,1890.208333,-0.34
1890,4,1890.291667,-0.37
1890,5,1890.375,-0.5
1890,6,1890.458333,-0.39
1890,7,1890.541667,-0.31
1890,8,1890.625,-0.38
1890,9,1890.708333,-0.42
1890,10,1890.791667,-0.24
1890,11,1890.875,-0.51
1890,12,1890.958333,-0.35
1891,1,1891.041667,-0.49
1891,2,1891.125,-0.54
1891,3,1891.208333,-0.18
1891,4,1891.291667,-0.31
1891,5,1891.375,-0.21
1891,6,1891.458333,-0.24
1891,7,1891.541667,-0.23
1891,8,1891.625,-0.19
1891,9,1891.708333,-0.17
1891,10,1891.791667,-0.24
1891,11,1891.875,-0.39
1891,12,1891.958333,-0.1
1892,1,1892.041667,-0.38
1892,2,1892.125,-0.11
1892,3,1892.208333,-0.35
1892,4,1892.291667,-0.44
1892,5,1892.375,-0.33
1892,6,1892.458333,-0.23
1892,7,1892.541667,-0.32
1892,8,1892.625,-0.28
1892,9,1892.708333,-0.21
1892,10,1892.791667,-0.29
1892,11,1892.875,-0.52
1892,12,1892.958333,-0.48
1893,1,1893.041667,-0.86
1893,2,1893.125,-0.59
1893,3,1893.208333,-0.2
1893,4,1893.291667,-0.37
1893,5,1893.375,-0.39
1893,6,1893.458333,-0.29
1893,7,1893.541667,-0.11
1893,8,1893.625,-0.27
1893,9,1893.708333,-0.25
1893,10,1893.791667,-0.18
1893,11,1893.875,-0.18
1893,12,1893.958333,-0.35
1894,1,1894.041667,-0.51
1894,2,1894.125,-0.33
1894,3,1894.208333,-0.26
1894,4,1894.291667,-0.45
1894,5,1894.375,-0.39
1894,6,1894.458333,-0.44
1894,7,1894.541667,-0.21
1894,8,1894.625,-0.26
1894,9,1894.708333,-0.36
1894,10,1894.791667,-0.28
1894,11,1894.875,-0.39
1894,12,1894.958333,-0.3
1895,1,1895.041667,-0.56
1895,2,1895.125,-0.5
1895,3,1895.208333,-0.31
1895,4,1895.291667,-0.28
1895,5,1895.375,-0.31
1895,6,1895.458333,-0.23
1895,7,1895.541667,-0.21
1895,8,1895.625,-0.19
1895,9,1895.708333,-0.12
1895,10,1895.791667,-0.17
1895,11,1895.875,-0.14
1895,12,1895.958333,-0.21
1896,1,1896.041667,-0.26
1896,2,1896.125,-0.2
1896,3,1896.208333,-0.32
1896,4,1896.291667,-0.38
1896,5,1896.375,-0.17
1896,6,1896.458333,-0.15
1896,7,1896.541667,-0.08
1896,8,1896.625,-0.14
1896,9,1896.708333,-0.11
1896,10,1896.791667,-0.02
1896,11,1896.875,-0.15
1896,12,1896.958333,-0.13
1897,1,1897.041667,-0.22
1897,2,1897.125,-0.19
1897,3,1897.208333,-0.18
1897,4,1897.291667,-0.08
1897,5,1897.375,-0.05
1897,6,1897.458333,-0.13
1897,7,1897.541667,-0.05
1897,8,1897.625,-0.1
1897,9,1897.708333,-0.15
1897,10,1897.791667,-0.11
1897,11,1897.875,-0.19
1897,12,1897.958333,-0.17
1898,1,1898.041667,-0.07
1898,2,1898.125,-0.26
1898,3,1898.208333,-0.48
1898,4,1898.291667,-0.25
1898,5,1898.375,-0.35
1898,6,1898.458333,-0.18
1898,7,1898.541667,-0.21
1898,8,1898.625,-0.22
1898,9,1898.708333,-0.2
1898,10,1898.791667,-0.29
1898,11,1898.875,-0.39
1898,12,1898.958333,-0.28
1899,1,1899.041667,-0.22
1899,2,1899.125,-0.37
1899,3,1899.208333,-0.29
1899,4,1899.291667,-0.16
1899,5,1899.375,-0.17
1899,6,1899.458333,-0.28
1899,7,1899.541667,-0.09
1899,8,1899.625,-0.06
1899,9,1899.708333,-0.07
1899,10,1899.791667,-0.02
1899,11,1899.875,0.13
1899,12,1899.958333,-0.27
1900,1,1900.041667,-0.34
1900,2,1900.125,0.05
1900,3,1900.208333,-0.01
1900,4,1900.291667,-0.11
1900,5,1900.375,-0.08
1900,6,1900.458333,-0.1
1900,7,1900.541667,-0.1
1900,8,1900.625,-0.1
1900,9,1900.708333,-0.06
1900,10,1900.791667,0.01
1900,11,1900.875,-0.13
1900,12,1900.958333,-0.08
1901,1,1901.041667,-0.21
1901,2,1901.125,0
1901,3,1901.208333,0.03
1901,4,1901.291667,-0.03
1901,5,1901.375,-0.14
1901,6,1901.458333,-0.13
1901,7,1901.541667,-0.17
1901,8,1901.625,-0.18
1901,9,1901.708333,-0.22
1901,10,1901.791667,-0.26
1901,11,1901.875,-0.23
1901,12,1901.958333,-0.25
1902,1,1902.041667,-0.14
1902,2,1902.125,0.06
1902,3,1902.208333,-0.23
1902,4,1902.291667,-0.25
1902,5,1902.375,-0.28
1902,6,1902.458333,-0.3
1902,7,1902.541667,-0.17
1902,8,1902.625,-0.26
1902,9,1902.708333,-0.26
1902,10,1902.791667,-0.32
1902,11,1902.875,-0.42
1902,12,1902.958333,-0.46
1903,1,1903.041667,-0.25
1903,2,1903.125,0.05
1903,3,1903.208333,-0.15
1903,4,1903.291667,-0.36
1903,5,1903.375,-0.32
1903,6,1903.458333,-0.42
1903,7,1903.541667,-0.28
1903,8,1903.625,-0.38
1903,9,1903.708333,-0.43
1903,10,1903.791667,-0.41
1903,11,1903.875,-0.31
1903,12,1903.958333,-0.45
1904,1,1904.041667,-0.56
1904,2,1904.125,-0.45
1904,3,1904.208333,-0.34
1904,4,1904.291667,-0.43
1904,5,1904.375,-0.41
1904,6,1904.458333,-0.35
1904,7,1904.541667,-0.33
1904,8,1904.625,-0.33
1904,9,1904.708333,-0.38
1904,10,1904.791667,-0.3
1904,11,1904.875,-0.12
1904,12,1904.958333,-0.21
1905,1,1905.041667,-0.3
1905,2,1905.125,-0.55
1905,3,1905.208333,-0.21
1905,4,1905.291667,-0.35
1905,5,1905.375,-0.28
1905,6,1905.458333,-0.26
1905,7,1905.541667,-0.22
1905,8,1905.625,-0.16
1905,9,1905.708333,-0.16
1905,10,1905.791667,-0.26
1905,11,1905.875,-0.09
1905,12,1905.958333,-0.2
1906,1,1906.041667,-0.27
1906,2,1906.125,-0.3
1906,3,1906.208333,-0.16
1906,4,1906.291667,-0.03
1906,5,1906.375,-0.2
1906,6,1906.458333,-0.13
1906,7,1906.541667,-0.21
1906,8,1906.625,-0.12
1906,9,1906.708333,-0.21
1906,10,1906.791667,-0.15
1906,11,1906.875,-0.38
1906,12,1906.958333,-0.14
1907,1,1907.041667,-0.42
1907,2,1907.125,-0.49
1907,3,1907.208333,-0.27
1907,4,1907.291667,-0.46
1907,5,1907.375,-0.49
1907,6,1907.458333,-0.45
1907,7,1907.541667,-0.38
1907,8,1907.625,-0.39
1907,9,1907.708333,-0.28
1907,10,1907.791667,-0.25
1907,11,1907.875,-0.44
1907,12,1907.958333,-0.43
1908,1,1908.041667,-0.41
1908,2,1908.125,-0.26
1908,3,1908.208333,-0.47
1908,4,1908.291667,-0.41
1908,5,1908.375,-0.33
1908,6,1908.458333,-0.26
1908,7,1908.541667,-0.24
1908,8,1908.625,-0.33
1908,9,1908.708333,-0.22
1908,10,1908.791667,-0.3
1908,11,1908.875,-0.4
1908,12,1908.958333,-0.4
1909,1,1909.041667,-0.56
1909,2,1909.125,-0.38
1909,3,1909.208333,-0.43
1909,4,1909.291667,-0.45
1909,5,1909.375,-0.42
1909,6,1909.458333,-0.41
1909,7,1909.541667,-0.33
1909,8,1909.625,-0.2
1909,9,1909.708333,-0.23
1909,10,1909.791667,-0.22
1909,11,1909.875,-0.19
1909,12,1909.958333,-0.4
1910,1,1910.041667,-0.32
1910,2,1910.125,-0.32
1910,3,1910.208333,-0.35
1910,4,1910.291667,-0.34
1910,5,1910.375,-0.34
1910,6,1910.458333,-0.34
1910,7,1910.541667,-0.21
1910,8,1910.625,-0.23
1910,9,1910.708333,-0.29
1910,10,1910.791667,-0.31
1910,11,1910.875,-0.42
1910,12,1910.958333,-0.56
1911,1,1911.041667,-0.53
1911,2,1911.125,-0.47
1911,3,1911.208333,-0.5
1911,4,1911.291667,-0.49
1911,5,1911.375,-0.41
1911,6,1911.458333,-0.38
1911,7,1911.541667,-0.24
1911,8,1911.625,-0.28
1911,9,1911.708333,-0.23
1911,10,1911.791667,-0.18
1911,11,1911.875,-0.17
1911,12,1911.958333,-0.18
1912,1,1912.041667,-0.23
1912,2,1912.125,-0.09
1912,3,1912.208333,-0.3
1912,4,1912.291667,-0.21
1912,5,1912.375,-0.2
1912,6,1912.458333,-0.2
1912,7,1912.541667,-0.38
1912,8,1912.625,-0.52
1912,9,1912.708333,-0.43
1912,10,1912.791667,-0.52
1912,11,1912.875,-0.31
1912,12,1912.958333,-0.34
1913,1,1913.041667,-0.38
1913,2,1913.125,-0.34
1913,3,1913.208333,-0.38
1913,4,1913.291667,-0.35
1913,5,1913.375,-0.38
1913,6,1913.458333,-0.42
1913,7,1913.541667,-0.28
1913,8,1913.625,-0.24
1913,9,1913.708333,-0.25
1913,10,1913.791667,-0.31
1913,11,1913.875,-0.18
1913,12,1913.958333,-0.03
1914,1,1914.041667,-0.03
1914,2,1914.125,-0.11
1914,3,1914.208333,-0.2
1914,4,1914.291667,-0.24
1914,5,1914.375,-0.15
1914,6,1914.458333,-0.15
1914,7,1914.541667,-0.15
1914,8,1914.625,-0.14
1914,9,1914.708333,-0.16
1914,10,1914.791667,-0.01
1914,11,1914.875,-0.18
1914,12,1914.958333,-0.15
1915,1,1915.041667,-0.21
1915,2,1915.125,-0.06
1915,3,1915.208333,-0.13
1915,4,1915.291667,0.01
1915,5,1915.375,-0.02
1915,6,1915.458333,-0.02
1915,7,1915.541667,-0.01
1915,8,1915.625,-0.1
1915,9,1915.708333,-0.06
1915,10,1915.791667,-0.2
1915,11,1915.875,-0.11
1915,12,1915.958333,-0.19
1916,1,1916.041667,-0.17
1916,2,1916.125,-0.15
1916,3,1916.208333,-0.32
1916,4,1916.291667,-0.26
1916,5,1916.375,-0.31
1916,6,1916.458333,-0.37
1916,7,1916.541667,-0.27
1916,8,1916.625,-0.2
1916,9,1916.708333,-0.25
1916,10,1916.791667,-0.18
1916,11,1916.875,-0.35
1916,12,1916.958333,-0.63
1917,1,1917.041667,-0.4
1917,2,1917.125,-0.49
1917,3,1917.208333,-0.49
1917,4,1917.291667,-0.38
1917,5,1917.375,-0.56
1917,6,1917.458333,-0.36
1917,7,1917.541667,-0.17
1917,8,1917.625,-0.2
1917,9,1917.708333,-0.14
1917,10,1917.791667,-0.35
1917,11,1917.875,-0.29
1917,12,1917.958333,-0.69
1918,1,1918.041667,-0.48
1918,2,1918.125,-0.44
1918,3,1918.208333,-0.28
1918,4,1918.291667,-0.44
1918,5,1918.375,-0.46
1918,6,1918.458333,-0.34
1918,7,1918.541667,-0.28
1918,8,1918.625,-0.38
1918,9,1918.708333,-0.23
1918,10,1918.791667,-0.07
1918,11,1918.875,-0.19
1918,12,1918.958333,-0.33
1919,1,1919.041667,-0.16
1919,2,1919.125,-0.19
1919,3,1919.208333,-0.19
1919,4,1919.291667,-0.11
1919,5,1919.375,-0.17
1919,6,1919.458333,-0.18
1919,7,1919.541667,-0.19
1919,8,1919.625,-0.15
1919,9,1919.708333,-0.11
1919,10,1919.791667,-0.18
1919,11,1919.875,-0.44
1919,12,1919.958333,-0.33
1920,1,1920.041667,-0.13
1920,2,1920.125,-0.2
1920,3,1920.208333,0
1920,4,1920.291667,-0.14
1920,5,1920.375,-0.11
1920,6,1920.458333,-0.19
1920,7,1920.541667,-0.24
1920,8,1920.625,-0.2
1920,9,1920.708333,-0.19
1920,10,1920.791667,-0.25
1920,11,1920.875,-0.28
1920,12,1920.958333,-0.44
1921,1,1921.041667,-0.05
1921,2,1921.125,-0.16
1921,3,1921.208333,-0.13
1921,4,1921.291667,-0.16
1921,5,1921.375,-0.19
1921,6,1921.458333,-0.13
1921,7,1921.541667,-0.01
1921,8,1921.625,-0.26
1921,9,1921.708333,-0.2
1921,10,1921.791667,-0.08
1921,11,1921.875,-0.17
1921,12,1921.958333,-0.17
1922,1,1922.041667,-0.31
1922,2,1922.125,-0.35
1922,3,1922.208333,-0.19
1922,4,1922.291667,-0.25
1922,5,1922.375,-0.3
1922,6,1922.458333,-0.25
1922,7,1922.541667,-0.16
1922,8,1922.625,-0.26
1922,9,1922.708333,-0.29
1922,10,1922.791667,-0.25
1922,11,1922.875,-0.17
1922,12,1922.958333,-0.18
1923,1,1923.041667,-0.24
1923,2,1923.125,-0.26
1923,3,1923.208333,-0.23
1923,4,1923.291667,-0.35
1923,5,1923.375,-0.35
1923,6,1923.458333,-0.22
1923,7,1923.541667,-0.27
1923,8,1923.625,-0.3
1923,9,1923.708333,-0.26
1923,10,1923.791667,-0.08
1923,11,1923.875,0.02
1923,12,1923.958333,-0.03
1924,1,1924.041667,-0.22
1924,2,1924.125,-0.24
1924,3,1924.208333,-0.09
1924,4,1924.291667,-0.32
1924,5,1924.375,-0.22
1924,6,1924.458333,-0.2
1924,7,1924.541667,-0.19
1924,8,1924.625,-0.21
1924,9,1924.708333,-0.24
1924,10,1924.791667,-0.24
1924,11,1924.875,-0.13
1924,12,1924.958333,-0.32
1925,1,1925.041667,-0.31
1925,2,1925.125,-0.26
1925,3,1925.208333,-0.17
1925,4,1925.291667,-0.18
1925,5,1925.375,-0.23
1925,6,1925.458333,-0.29
1925,7,1925.541667,-0.2
1925,8,1925.625,-0.14
1925,9,1925.708333,-0.16
1925,10,1925.791667,-0.19
1925,11,1925.875,0.01
1925,12,1925.958333,0.16
1926,1,1926.041667,0.21
1926,2,1926.125,0.14
1926,3,1926.208333,0.23
1926,4,1926.291667,-0.08
1926,5,1926.375,-0.14
1926,6,1926.458333,-0.15
1926,7,1926.541667,-0.09
1926,8,1926.625,0.01
1926,9,1926.708333,-0.04
1926,10,1926.791667,0
1926,11,1926.875,-0.05
1926,12,1926.958333,-0.19
1927,1,1927.041667,-0.18
1927,2,1927.125,-0.05
1927,3,1927.208333,-0.29
1927,4,1927.291667,-0.23
1927,5,1927.375,-0.2
1927,6,1927.458333,-0.17
1927,7,1927.541667,-0.06
1927,8,1927.625,-0.15
1927,9,1927.708333,-0.08
1927,10,1927.791667,0.03
1927,11,1927.875,-0.01
1927,12,1927.958333,-0.3
1928,1,1928.041667,0.03
1928,2,1928.125,-0.02
1928,3,1928.208333,-0.18
1928,4,1928.291667,-0.24
1928,5,1928.375,-0.25
1928,6,1928.458333,-0.28
1928,7,1928.541667,-0.11
1928,8,1928.625,-0.16
1928,9,1928.708333,-0.12
1928,10,1928.791667,-0.12
1928,11,1928.875,0
1928,12,1928.958333,-0.08
1929,1,1929.041667,-0.32
1929,2,1929.125,-0.42
1929,3,1929.208333,-0.23
1929,4,1929.291667,-0.31
1929,5,1929.375,-0.31
1929,6,1929.458333,-0.32
1929,7,1929.541667,-0.26
1929,8,1929.625,-0.23
1929,9,1929.708333,-0.2
1929,10,1929.791667,-0.07
1929,11,1929.875,-0.01
1929,12,1929.958333,-0.42
1930,1,1930.041667,-0.16
1930,2,1930.125,-0.14
1930,3,1930.208333,-0.02
1930,4,1930.291667,-0.15
1930,5,1930.375,-0.17
1930,6,1930.458333,-0.15
1930,7,1930.541667,-0.09
1930,8,1930.625,-0.02
1930,9,1930.708333,-0.08
1930,10,1930.791667,-0.07
1930,11,1930.875,0.17
1930,12,1930.958333,-0.01
1931,1,1931.041667,0
1931,2,1931.125,-0.16
1931,3,1931.208333,-0.01
1931,4,1931.291667,-0.12
1931,5,1931.375,-0.1
1931,6,1931.458333,0.02
1931,7,1931.541667,0.11
1931,8,1931.625,0.04
1931,9,1931.708333,-0.07
1931,10,1931.791667,0.05
1931,11,1931.875,-0.01
1931,12,1931.958333,0.02
1932,1,1932.041667,0.15
1932,2,1932.125,-0.13
1932,3,1932.208333,-0.12
1932,4,1932.291667,-0.03
1932,5,1932.375,-0.11
1932,6,1932.458333,-0.19
1932,7,1932.541667,-0.11
1932,8,1932.625,-0.1
1932,9,1932.708333,0.02
1932,10,1932.791667,0.03
1932,11,1932.875,-0.16
1932,12,1932.958333,-0.16
1933,1,1933.041667,-0.23
1933,2,1933.125,-0.19
1933,3,1933.208333,-0.18
1933,4,1933.291667,-0.16
1933,5,1933.375,-0.16
1933,6,1933.458333,-0.19
1933,7,1933.541667,-0.07
1933,8,1933.625,-0.11
1933,9,1933.708333,-0.18
1933,10,1933.791667,-0.14
1933,11,1933.875,-0.26
1933,12,1933.958333,-0.4
1934,1,1934.041667,-0.16
1934,2,1934.125,0.01
1934,3,1934.208333,-0.25
1934,4,1934.291667,-0.23
1934,5,1934.375,-0.05
1934,6,1934.458333,-0.06
1934,7,1934.541667,-0.01
1934,8,1934.625,-0.04
1934,9,1934.708333,-0.14
1934,10,1934.791667,-0.01
1934,11,1934.875,0.1
1934,12,1934.958333,0.03
1935,1,1935.041667,-0.26
1935,2,1935.125,0.24
1935,3,1935.208333,-0.04
1935,4,1935.291667,-0.27
1935,5,1935.375,-0.24
1935,6,1935.458333,-0.15
1935,7,1935.541667,-0.11
1935,8,1935.625,-0.12
1935,9,1935.708333,-0.14
1935,10,1935.791667,0.01
1935,11,1935.875,-0.22
1935,12,1935.958333,-0.13
1936,1,1936.041667,-0.2
1936,2,1936.125,-0.27
1936,3,1936.208333,-0.14
1936,4,1936.291667,-0.11
1936,5,1936.375,-0.09
1936,6,1936.458333,-0.07
1936,7,1936.541667,0.11
1936,8,1936.625,0.01
1936,9,1936.708333,-0.02
1936,10,1936.791667,0.05
1936,11,1936.875,0.07
1936,12,1936.958333,0.1
1937,1,1937.041667,0.01
1937,2,1937.125,0.2
1937,3,1937.208333,-0.07
1937,4,1937.291667,-0.09
1937,5,1937.375,0.01
1937,6,1937.458333,0.04
1937,7,1937.541667,0.08
1937,8,1937.625,0.09
1937,9,1937.708333,0.17
1937,10,1937.791667,0.14
1937,11,1937.875,0.19
1937,12,1937.958333,-0.02
1938,1,1938.041667,0.14
1938,2,1938.125,0.09
1938,3,1938.208333,0.23
1938,4,1938.291667,0.2
1938,5,1938.375,0.07
1938,6,1938.458333,-0.03
1938,7,1938.541667,0.07
1938,8,1938.625,0.06
1938,9,1938.708333,0.12
1938,10,1938.791667,0.2
1938,11,1938.875,0.16
1938,12,1938.958333,-0.1
1939,1,1939.041667,0
1939,2,1939.125,-0.02
1939,3,1939.208333,-0.15
1939,4,1939.291667,-0.06
1939,5,1939.375,-0.02
1939,6,1939.458333,0
1939,7,1939.541667,0.04
1939,8,1939.625,-0.03
1939,9,1939.708333,-0.01
1939,10,1939.791667,-0.05
1939,11,1939.875,0.05
1939,12,1939.958333,0.36
1940,1,1940.041667,-0.18
1940,2,1940.125,0
1940,3,1940.208333,0.04
1940,4,1940.291667,0.11
1940,5,1940.375,0.04
1940,6,1940.458333,0.04
1940,7,1940.541667,0.17
1940,8,1940.625,-0.03
1940,9,1940.708333,0.07
1940,10,1940.791667,0.01
1940,11,1940.875,0.06
1940,12,1940.958333,0.11
1941,1,1941.041667,0.09
1941,2,1941.125,0.21
1941,3,1941.208333,0.03
1941,4,1941.291667,0.14
1941,5,1941.375,0.09
1941,6,1941.458333,0.06
1941,7,1941.541667,0.1
1941,8,1941.625,0.01
1941,9,1941.708333,-0.13
1941,10,1941.791667,0.19
1941,11,1941.875,0.11
1941,12,1941.958333,0.2
1942,1,1942.041667,0.2
1942,2,1942.125,-0.09
1942,3,1942.208333,-0.01
1942,4,1942.291667,-0.01
1942,5,1942.375,0.07
1942,6,1942.458333,0.03
1942,7,1942.541667,-0.01
1942,8,1942.625,-0.02
1942,9,1942.708333,0.01
1942,10,1942.791667,0.02
1942,11,1942.875,0.02
1942,12,1942.958333,0.04
1943,1,1943.041667,-0.13
1943,2,1943.125,0.11
1943,3,1943.208333,-0.08
1943,4,1943.291667,0.08
1943,5,1943.375,0.16
1943,6,1943.458333,0.01
1943,7,1943.541667,0.15
1943,8,1943.625,0.06
1943,9,1943.708333,0.04
1943,10,1943.791667,0.23
1943,11,1943.875,0.18
1943,12,1943.958333,0.25
1944,1,1944.041667,0.35
1944,2,1944.125,0.25
1944,3,1944.208333,0.2
1944,4,1944.291667,0.1
1944,5,1944.375,0.2
1944,6,1944.458333,0.12
1944,7,1944.541667,0.18
1944,8,1944.625,0.16
1944,9,1944.708333,0.26
1944,10,1944.791667,0.23
1944,11,1944.875,0.15
1944,12,1944.958333,0.12
1945,1,1945.041667,0.16
1945,2,1945.125,0.1
1945,3,1945.208333,0.12
1945,4,1945.291667,0.17
1945,5,1945.375,0.01
1945,6,1945.458333,-0.02
1945,7,1945.541667,0.03
1945,8,1945.625,0.14
1945,9,1945.708333,0
1945,10,1945.791667,0.08
1945,11,1945.875,0.06
1945,12,1945.958333,-0.09
1946,1,1946.041667,0.12
1946,2,1946.125,0.07
1946,3,1946.208333,-0.05
1946,4,1946.291667,0.06
1946,5,1946.375,-0.07
1946,6,1946.458333,-0.15
1946,7,1946.541667,-0.04
1946,8,1946.625,-0.19
1946,9,1946.708333,-0.03
1946,10,1946.791667,-0.05
1946,11,1946.875,-0.04
1946,12,1946.958333,-0.27
1947,1,1947.041667,-0.04
1947,2,1947.125,-0.02
1947,3,1947.208333,0.14
1947,4,1947.291667,0.04
1947,5,1947.375,-0.04
1947,6,1947.458333,-0.08
1947,7,1947.541667,-0.04
1947,8,1947.625,-0.04
1947,9,1947.708333,-0.07
1947,10,1947.791667,0.12
1947,11,1947.875,0.12
1947,12,1947.958333,-0.11
1948,1,1948.041667,0.12
1948,2,1948.125,-0.1
1948,3,1948.208333,-0.09
1948,4,1948.291667,-0.05
1948,5,1948.375,0.05
1948,6,1948.458333,0.04
1948,7,1948.541667,-0.11
1948,8,1948.625,-0.08
1948,9,1948.708333,-0.08
1948,10,1948.791667,0.01
1948,11,1948.875,-0.05
1948,12,1948.958333,-0.2
1949,1,1949.041667,0.14
1949,2,1949.125,-0.16
1949,3,1949.208333,-0.02
1949,4,1949.291667,-0.09
1949,5,1949.375,-0.09
1949,6,1949.458333,-0.21
1949,7,1949.541667,-0.1
1949,8,1949.625,-0.05
1949,9,1949.708333,-0.05
1949,10,1949.791667,-0.01
1949,11,1949.875,-0.06
1949,12,1949.958333,-0.11
1950,1,1950.041667,-0.25
1950,2,1950.125,-0.28
1950,3,1950.208333,-0.03
1950,4,1950.291667,-0.19
1950,5,1950.375,-0.14
1950,6,1950.458333,-0.06
1950,7,1950.541667,-0.08
1950,8,1950.625,-0.19
1950,9,1950.708333,-0.12
1950,10,1950.791667,-0.17
1950,11,1950.875,-0.29
1950,12,1950.958333,-0.11
1951,1,1951.041667,-0.32
1951,2,1951.125,-0.4
1951,3,1951.208333,-0.18
1951,4,1951.291667,-0.09
1951,5,1951.375,0.01
1951,6,1951.458333,-0.04
1951,7,1951.541667,-0.02
1951,8,1951.625,0.11
1951,9,1951.708333,0.09
1951,10,1951.791667,0.14
1951,11,1951.875,0.03
1951,12,1951.958333,0.17
1952,1,1952.041667,0.14
1952,2,1952.125,0.14
1952,3,1952.208333,-0.08
1952,4,1952.291667,0.05
1952,5,1952.375,-0.01
1952,6,1952.458333,0.03
1952,7,1952.541667,0.07
1952,8,1952.625,0.09
1952,9,1952.708333,0.07
1952,10,1952.791667,-0.05
1952,11,1952.875,-0.14
1952,12,1952.958333,-0.04
1953,1,1953.041667,0.11
1953,2,1953.125,0.17
1953,3,1953.208333,0.15
1953,4,1953.291667,0.18
1953,5,1953.375,0.07
1953,6,1953.458333,0.04
1953,7,1953.541667,0.04
1953,8,1953.625,0.09
1953,9,1953.708333,0.09
1953,10,1953.791667,0.09
1953,11,1953.875,0.01
1953,12,1953.958333,0.14
1954,1,1954.041667,-0.19
1954,2,1954.125,-0.05
1954,3,1954.208333,-0.08
1954,4,1954.291667,-0.1
1954,5,1954.375,-0.17
1954,6,1954.458333,-0.14
1954,7,1954.541667,-0.22
1954,8,1954.625,-0.18
1954,9,1954.708333,-0.13
1954,10,1954.791667,-0.04
1954,11,1954.875,0.12
1954,12,1954.958333,-0.12
1955,1,1955.041667,0.18
1955,2,1955.125,-0.14
1955,3,1955.208333,-0.3
1955,4,1955.291667,-0.17
1955,5,1955.375,-0.19
1955,6,1955.458333,-0.13
1955,7,1955.541667,-0.08
1955,8,1955.625,0.11
1955,9,1955.708333,-0.08
1955,10,1955.791667,0.01
1955,11,1955.875,-0.22
1955,12,1955.958333,-0.28
1956,1,1956.041667,-0.16
1956,2,1956.125,-0.25
1956,3,1956.208333,-0.23
