"Country","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008"
"Azerbaijan",0,0,0,5,0,0
"Bangladesh",0,0,0,0,0,0
"Cambodia",0,0,4,2,1,0
"China",1,0,5,8,3,3
"Djibouti",0,0,0,0,0,0
"Egypt",0,0,0,10,9,3
"Indonesia",0,0,13,45,37,15
"Iraq",0,0,0,2,0,0
"Lao.People.s.Democratic.Republic",0,0,0,0,2,0
"Myanmar",0,0,0,0,0,0
"Nigeria",0,0,0,0,1,0
"Pakistan",0,0,0,0,1,0
"Thailand",0,12,2,3,0,0
"Turkey",0,0,0,4,0,0
"Vietnam",3,20,19,0,5,5
